experiment_index,experiment_file,experiment_id,linked_claim,evidence_bucket,role,synthetic_or_real,supports_or_weakens,usable_for_report
1,viruse_fabric/experiments/exp_01_projection.py,exp_01_projection,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
2,viruse_fabric/experiments/exp_02_counterfactual.py,exp_02_counterfactual,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
3,viruse_fabric/experiments/exp_03_intervention.py,exp_03_intervention,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
4,viruse_fabric/experiments/exp_04_critical_review.py,exp_04_critical_review,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
5,viruse_fabric/experiments/exp_05_spacetime_coupling.py,exp_05_spacetime_coupling,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
6,viruse_fabric/experiments/exp_06_critical_after_coupling.py,exp_06_critical_after_coupling,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
7,viruse_fabric/experiments/exp_07_rich_projection.py,exp_07_rich_projection,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
8,viruse_fabric/experiments/exp_08_rich_critical_review.py,exp_08_rich_critical_review,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
9,viruse_fabric/experiments/exp_09_causal_curvature.py,exp_09_causal_curvature,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
10,viruse_fabric/experiments/exp_100_formal_definition_pre_execution_checklist_completion.py,exp_100_formal_definition_pre_execution_checklist_completion,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
11,viruse_fabric/experiments/exp_101_formal_definition_checklist_completion_approval_plan.py,exp_101_formal_definition_checklist_completion_approval_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
12,viruse_fabric/experiments/exp_102_formal_definition_checklist_completion_approval_execution.py,exp_102_formal_definition_checklist_completion_approval_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
13,viruse_fabric/experiments/exp_103_formal_definition_execution_readiness_approval_plan.py,exp_103_formal_definition_execution_readiness_approval_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
14,viruse_fabric/experiments/exp_104_formal_definition_execution_readiness_approval_execution.py,exp_104_formal_definition_execution_readiness_approval_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
15,viruse_fabric/experiments/exp_105_controlled_formal_definition_execution_plan.py,exp_105_controlled_formal_definition_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
16,viruse_fabric/experiments/exp_106_controlled_formal_definition_execution.py,exp_106_controlled_formal_definition_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
17,viruse_fabric/experiments/exp_107_controlled_formal_definition_execution_trace_audit.py,exp_107_controlled_formal_definition_execution_trace_audit,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
18,viruse_fabric/experiments/exp_108_controlled_formal_definition_completion_readiness_plan.py,exp_108_controlled_formal_definition_completion_readiness_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
19,viruse_fabric/experiments/exp_109_controlled_formal_definition_completion_readiness_decision_plan.py,exp_109_controlled_formal_definition_completion_readiness_decision_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
20,viruse_fabric/experiments/exp_10_causal_geodesic.py,exp_10_causal_geodesic,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
21,viruse_fabric/experiments/exp_110_controlled_formal_definition_completion_readiness_decision_execution.py,exp_110_controlled_formal_definition_completion_readiness_decision_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
22,viruse_fabric/experiments/exp_111_controlled_formal_definition_completion_attempt_plan.py,exp_111_controlled_formal_definition_completion_attempt_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
